 ,Label,Area,XM,YM,Perim.,Circ.,AR,Round,Solidity
597,Image01_cropped.jpg,1,2275.50000,2655.50000,2.82843,1.00000,1.00000,1.00000,1.00000
598,Image01_cropped.jpg,1,2441.50000,2655.50000,2.82843,1.00000,1.00000,1.00000,1.00000
599,Image01_cropped.jpg,1,2242.50000,2656.50000,2.82843,1.00000,1.00000,1.00000,1.00000
600,Image01_cropped.jpg,1,2250.50000,2656.50000,2.82843,1.00000,1.00000,1.00000,1.00000
601,Image01_cropped.jpg,1,2252.50000,2656.50000,2.82843,1.00000,1.00000,1.00000,1.00000
602,Image01_cropped.jpg,1,2260.50000,2656.50000,2.82843,1.00000,1.00000,1.00000,1.00000
603,Image01_cropped.jpg,1,3390.50000,2656.50000,2.82843,1.00000,1.00000,1.00000,1.00000
604,Image01_cropped.jpg,4,2253.75000,2658.50000,8.48528,0.69813,2.65383,0.37681,0.66667
605,Image01_cropped.jpg,1,2262.50000,2657.50000,2.82843,1.00000,1.00000,1.00000,1.00000
606,Image01_cropped.jpg,1,3331.50000,2657.50000,2.82843,1.00000,1.00000,1.00000,1.00000
607,Image01_cropped.jpg,1,3394.50000,2657.50000,2.82843,1.00000,1.00000,1.00000,1.00000
608,Image01_cropped.jpg,1,2258.50000,2658.50000,2.82843,1.00000,1.00000,1.00000,1.00000
609,Image01_cropped.jpg,1,2264.50000,2658.50000,2.82843,1.00000,1.00000,1.00000,1.00000
610,Image01_cropped.jpg,4,2269.50000,2659.50000,8.48528,0.69813,1.58114,0.63246,0.61538
611,Image01_cropped.jpg,2,3393.00000,2659.00000,5.65685,0.78540,2.64575,0.37796,0.66667
612,Image01_cropped.jpg,1,2234.50000,2659.50000,2.82843,1.00000,1.00000,1.00000,1.00000
613,Image01_cropped.jpg,1,2246.50000,2659.50000,2.82843,1.00000,1.00000,1.00000,1.00000
614,Image01_cropped.jpg,1,2275.50000,2659.50000,2.82843,1.00000,1.00000,1.00000,1.00000
615,Image01_cropped.jpg,3,2283.83333,2660.16667,5.65685,1.00000,1.46385,0.68313,0.85714
616,Image01_cropped.jpg,6,2429.16667,2660.00000,12.48528,0.48369,2.89221,0.34576,0.57143
617,Image01_cropped.jpg,1,2232.50000,2660.50000,2.82843,1.00000,1.00000,1.00000,1.00000
618,Image01_cropped.jpg,3,2267.16667,2661.50000,7.65685,0.64303,2.70203,0.37009,0.66667
619,Image01_cropped.jpg,1,2291.50000,2660.50000,2.82843,1.00000,1.00000,1.00000,1.00000
620,Image01_cropped.jpg,5,2421.30000,2662.50000,11.65685,0.46240,3.67819,0.27187,0.66667
621,Image01_cropped.jpg,2,2245.50000,2662.00000,4.82843,1.00000,2.00000,0.50000,1.00000
622,Image01_cropped.jpg,1,2247.50000,2661.50000,2.82843,1.00000,1.00000,1.00000,1.00000
