 ,Label,Area,XM,YM,Perim.,Circ.,AR,Round,Solidity
68,Image01_cropped.jpg,35951,1573.45652,1494.62837,814.53110,0.68093,1.26439,0.79090,0.97164
69,Image01_cropped.jpg,39806,2159.35135,1498.96870,799.92092,0.78174,1.19671,0.83563,0.96965
70,Image01_cropped.jpg,10441,2368.37243,1473.29226,453.48737,0.63800,1.28742,0.77675,0.92801
71,Image01_cropped.jpg,37032,1956.90927,1568.98139,767.67828,0.78964,1.23273,0.81121,0.98246
72,Image01_cropped.jpg,28702,1107.87959,1565.94028,710.22244,0.71504,1.36059,0.73497,0.96700
73,Image01_cropped.jpg,29239,951.18757,1589.75035,748.76659,0.65536,1.36618,0.73197,0.96393
74,Image01_cropped.jpg,19465,2981.80665,1591.40110,543.02648,0.82951,1.16835,0.85591,0.98199
75,Image01_cropped.jpg,9522,2388.16940,1584.30687,445.36248,0.60327,1.58610,0.63048,0.96391
76,Image01_cropped.jpg,33296,255.28226,1641.38773,857.80317,0.56863,1.38246,0.72335,0.97843
77,Image01_cropped.jpg,32861,534.34014,1666.36245,800.48947,0.64444,1.67781,0.59601,0.98037
78,Image01_cropped.jpg,36626,1274.96644,1642.82289,800.30570,0.71860,1.27734,0.78288,0.97275
79,Image01_cropped.jpg,10288,2890.42341,1649.78042,487.55339,0.54387,1.48690,0.67254,0.93041
80,Image01_cropped.jpg,33618,2682.41850,1681.80070,757.94531,0.73537,1.47648,0.67729,0.97963
81,Image01_cropped.jpg,36575,2190.82260,1692.61650,792.00418,0.73272,1.14207,0.87560,0.97123
82,Image01_cropped.jpg,30346,1758.86249,1709.38865,744.00418,0.68891,1.55655,0.64245,0.97250
83,Image01_cropped.jpg,40551,3169.37951,1732.17616,896.43059,0.63413,1.47912,0.67608,0.96464
84,Image01_cropped.jpg,30860,1436.40201,1731.54044,743.13413,0.70222,1.52988,0.65365,0.97746
85,Image01_cropped.jpg,34279,682.42593,1771.65456,774.97475,0.71724,1.52629,0.65518,0.98201
86,Image01_cropped.jpg,44908,2504.72542,1818.00815,905.28340,0.68860,1.06234,0.94132,0.97571
87,Image01_cropped.jpg,31117,954.17976,1808.01625,724.02143,0.74594,1.23140,0.81208,0.97948
88,Image01_cropped.jpg,35031,2961.78235,1813.74647,769.27626,0.74387,1.14401,0.87411,0.97048
89,Image01_cropped.jpg,27312,1881.60743,1804.67717,658.62446,0.79120,1.39974,0.71442,0.97929
90,Image01_cropped.jpg,33554,402.09665,1874.17557,743.57778,0.76261,1.28490,0.77827,0.98232
91,Image01_cropped.jpg,41410,2714.49976,1919.10654,823.01638,0.76824,1.03487,0.96631,0.98283
